,Track name,Artist,Popularity,Track URL,id,Playlist country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,Genre,Genre code
30,After LIKE,IVE,80,https://open.spotify.com/track/2gYj9lubBorOPIVWsTXugG,2gYj9lubBorOPIVWsTXugG,Global,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,0.3679348447012355,audio_features,spotify:track:2gYj9lubBorOPIVWsTXugG,https://api.spotify.com/v1/tracks/2gYj9lubBorOPIVWsTXugG,https://api.spotify.com/v1/audio-analysis/2gYj9lubBorOPIVWsTXugG,176973,4,Undefined,6
31,Sunroof,Nicky Youre,91,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8,4h4QlmocP3IuwYEj2j14p8,Global,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,0.42040020238619863,audio_features,spotify:track:4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/tracks/4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/audio-analysis/4h4QlmocP3IuwYEj2j14p8,163026,4,Pop,1
32,Te Felicito,Shakira,92,https://open.spotify.com/track/2rurDawMfoKP4uHyb2kJBt,2rurDawMfoKP4uHyb2kJBt,Global,0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,0.575,0.7688390540077362,audio_features,spotify:track:2rurDawMfoKP4uHyb2kJBt,https://api.spotify.com/v1/tracks/2rurDawMfoKP4uHyb2kJBt,https://api.spotify.com/v1/audio-analysis/2rurDawMfoKP4uHyb2kJBt,172235,4,Hispanic american dance music,2
33,Ferrari,James Hype,90,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP,4zN21mbAuaD0WqtmaTZZeP,Global,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,0.3678532373631037,audio_features,spotify:track:4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/tracks/4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/audio-analysis/4zN21mbAuaD0WqtmaTZZeP,186662,4,Electronic,4
34,Party,Bad Bunny,92,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN,4tYFy8ALRjIZvnvSLw5lxN,Global,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,0.13942613719825692,audio_features,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,https://api.spotify.com/v1/tracks/4tYFy8ALRjIZvnvSLw5lxN,https://api.spotify.com/v1/audio-analysis/4tYFy8ALRjIZvnvSLw5lxN,227629,4,API Exception,7
35,Die For You,The Weeknd,84,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,2LBqCSwhJGcFQeTHMVGwy3,Global,0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,0.4382395665018198,audio_features,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,https://api.spotify.com/v1/tracks/2LBqCSwhJGcFQeTHMVGwy3,https://api.spotify.com/v1/audio-analysis/2LBqCSwhJGcFQeTHMVGwy3,260253,4,Pop,1
36,Bam Bam (feat. Ed Sheeran),Camila Cabello,83,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a,2DB4DdfCFMw1iaR6JaR03a,Global,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,0.12296593709706374,audio_features,spotify:track:2DB4DdfCFMw1iaR6JaR03a,https://api.spotify.com/v1/tracks/2DB4DdfCFMw1iaR6JaR03a,https://api.spotify.com/v1/audio-analysis/2DB4DdfCFMw1iaR6JaR03a,206071,4,Pop,1
37,Caile,Luar La L,85,https://open.spotify.com/track/6i1g5ZRmJZAkDwBaUZ3f2i,6i1g5ZRmJZAkDwBaUZ3f2i,Global,0.704,0.756,0,-4.948,1,0.448,0.298,3.75e-06,0.0852,0.461,0.3411921199954299,audio_features,spotify:track:6i1g5ZRmJZAkDwBaUZ3f2i,https://api.spotify.com/v1/tracks/6i1g5ZRmJZAkDwBaUZ3f2i,https://api.spotify.com/v1/audio-analysis/6i1g5ZRmJZAkDwBaUZ3f2i,141340,3,API Exception,7
38,Jimmy Cooks (feat. 21 Savage),Drake,91,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,3F5CgOj3wFlRv51JsHbxhe,Global,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,0.7017659827971731,audio_features,spotify:track:3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/tracks/3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/audio-analysis/3F5CgOj3wFlRv51JsHbxhe,218365,4,Hip-Hop,3
39,cómo dormiste?,Rels B,88,https://open.spotify.com/track/3fjN3y5x4hN53rykAN2LHQ,3fjN3y5x4hN53rykAN2LHQ,Global,0.627,0.429,1,-8.255,1,0.234,0.238,0.0,0.122,0.565,0.37945780084545205,audio_features,spotify:track:3fjN3y5x4hN53rykAN2LHQ,https://api.spotify.com/v1/tracks/3fjN3y5x4hN53rykAN2LHQ,https://api.spotify.com/v1/audio-analysis/3fjN3y5x4hN53rykAN2LHQ,112572,5,API Exception,7
