,Track name,Artist,Popularity,Track URL,id,Playlist country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
33,Не забудем і не пробачим,Skofka,54,https://open.spotify.com/track/6KvQKU21c1ZGEoOajKfim0,6KvQKU21c1ZGEoOajKfim0,Ukraine,0.805,0.402,8,-9.308,0,0.311,0.347,0.0,0.0718,0.543,77.019,audio_features,spotify:track:6KvQKU21c1ZGEoOajKfim0,https://api.spotify.com/v1/tracks/6KvQKU21c1ZGEoOajKfim0,https://api.spotify.com/v1/audio-analysis/6KvQKU21c1ZGEoOajKfim0,202408,4
34,ДИКЕ ПОЛЕ,YARMAK,54,https://open.spotify.com/track/7g9brrz6mR8dm1kwYFwnRx,7g9brrz6mR8dm1kwYFwnRx,Ukraine,0.66,0.62,2,-9.811,1,0.0731,0.092,0.0,0.0855,0.127,82.54,audio_features,spotify:track:7g9brrz6mR8dm1kwYFwnRx,https://api.spotify.com/v1/tracks/7g9brrz6mR8dm1kwYFwnRx,https://api.spotify.com/v1/audio-analysis/7g9brrz6mR8dm1kwYFwnRx,206545,4
35,глаза не врут,Кореш,61,https://open.spotify.com/track/4ikCWgaaGLKgb724CUNnqZ,4ikCWgaaGLKgb724CUNnqZ,Ukraine,0.841,0.452,1,-8.04,0,0.159,0.873,5.7e-05,0.0979,0.392,119.982,audio_features,spotify:track:4ikCWgaaGLKgb724CUNnqZ,https://api.spotify.com/v1/tracks/4ikCWgaaGLKgb724CUNnqZ,https://api.spotify.com/v1/audio-analysis/4ikCWgaaGLKgb724CUNnqZ,110135,4
36,showdown,shadowraze,64,https://open.spotify.com/track/48fzAdCxamFYCHNXXLk6zn,48fzAdCxamFYCHNXXLk6zn,Ukraine,0.714,0.63,6,-11.098,1,0.129,0.0355,0.0294,0.0922,0.378,114.945,audio_features,spotify:track:48fzAdCxamFYCHNXXLk6zn,https://api.spotify.com/v1/tracks/48fzAdCxamFYCHNXXLk6zn,https://api.spotify.com/v1/audio-analysis/48fzAdCxamFYCHNXXLk6zn,120187,4
37,2step (feat. Antytila),Ed Sheeran,46,https://open.spotify.com/track/0EgNmGWjnYm3FMyaOW5xsM,0EgNmGWjnYm3FMyaOW5xsM,Ukraine,0.506,0.695,4,-5.185,0,0.105,0.235,0.0,0.151,0.599,93.75,audio_features,spotify:track:0EgNmGWjnYm3FMyaOW5xsM,https://api.spotify.com/v1/tracks/0EgNmGWjnYm3FMyaOW5xsM,https://api.spotify.com/v1/audio-analysis/0EgNmGWjnYm3FMyaOW5xsM,153213,4
38,Pink Venom,BLACKPINK,88,https://open.spotify.com/track/0skYUMpS0AcbpjcGsAbRGj,0skYUMpS0AcbpjcGsAbRGj,Ukraine,0.798,0.697,0,-7.139,1,0.0891,0.0202,0.0,0.259,0.745,90.031,audio_features,spotify:track:0skYUMpS0AcbpjcGsAbRGj,https://api.spotify.com/v1/tracks/0skYUMpS0AcbpjcGsAbRGj,https://api.spotify.com/v1/audio-analysis/0skYUMpS0AcbpjcGsAbRGj,186964,4
39,Таблетка,PLOHOYPAREN,61,https://open.spotify.com/track/0fLampmh4qsOLGitXM171a,0fLampmh4qsOLGitXM171a,Ukraine,0.771,0.719,0,-7.33,1,0.169,0.279,4.86e-06,0.125,0.367,77.493,audio_features,spotify:track:0fLampmh4qsOLGitXM171a,https://api.spotify.com/v1/tracks/0fLampmh4qsOLGitXM171a,https://api.spotify.com/v1/audio-analysis/0fLampmh4qsOLGitXM171a,89806,4
40,Ой на ой,Skofka,52,https://open.spotify.com/track/73HVRUpTeY48oFcc1RMfVs,73HVRUpTeY48oFcc1RMfVs,Ukraine,0.873,0.425,9,-10.017,1,0.0909,0.685,0.000111,0.0849,0.551,112.077,audio_features,spotify:track:73HVRUpTeY48oFcc1RMfVs,https://api.spotify.com/v1/tracks/73HVRUpTeY48oFcc1RMfVs,https://api.spotify.com/v1/audio-analysis/73HVRUpTeY48oFcc1RMfVs,143494,4
41,Курить,Jakone,61,https://open.spotify.com/track/1hnMLPOqTMV2gurNxOnsjK,1hnMLPOqTMV2gurNxOnsjK,Ukraine,0.919,0.43,6,-9.582,1,0.18,0.0358,3.79e-06,0.109,0.467,115.047,audio_features,spotify:track:1hnMLPOqTMV2gurNxOnsjK,https://api.spotify.com/v1/tracks/1hnMLPOqTMV2gurNxOnsjK,https://api.spotify.com/v1/audio-analysis/1hnMLPOqTMV2gurNxOnsjK,127451,4
42,Me Gustas Tu,Manu Chao,77,https://open.spotify.com/track/6b37xrsNCWYIUphFBazqD6,6b37xrsNCWYIUphFBazqD6,Ukraine,0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,audio_features,spotify:track:6b37xrsNCWYIUphFBazqD6,https://api.spotify.com/v1/tracks/6b37xrsNCWYIUphFBazqD6,https://api.spotify.com/v1/audio-analysis/6b37xrsNCWYIUphFBazqD6,239987,4
43,BALANCE,INSTASAMKA,55,https://open.spotify.com/track/33aN03SdPY7SyO7jAWMTwc,33aN03SdPY7SyO7jAWMTwc,Ukraine,0.847,0.754,1,-6.132,0,0.0531,0.0119,4.41e-06,0.133,0.396,97.008,audio_features,spotify:track:33aN03SdPY7SyO7jAWMTwc,https://api.spotify.com/v1/tracks/33aN03SdPY7SyO7jAWMTwc,https://api.spotify.com/v1/audio-analysis/33aN03SdPY7SyO7jAWMTwc,136089,4
44,"Вова, їбаш їх блять",Мюслі UA,56,https://open.spotify.com/track/1K2ORdYBMvi5h4FvQn5hpX,1K2ORdYBMvi5h4FvQn5hpX,Ukraine,0.863,0.79,8,-5.592,1,0.252,0.0733,0.00375,0.128,0.71,119.985,audio_features,spotify:track:1K2ORdYBMvi5h4FvQn5hpX,https://api.spotify.com/v1/tracks/1K2ORdYBMvi5h4FvQn5hpX,https://api.spotify.com/v1/audio-analysis/1K2ORdYBMvi5h4FvQn5hpX,156000,4
45,Я хочу тебя трахать,Scally Milano,57,https://open.spotify.com/track/5TK74MJYRmwU5NIAjGRvRq,5TK74MJYRmwU5NIAjGRvRq,Ukraine,0.772,0.599,1,-4.972,1,0.171,0.183,0.0,0.0688,0.753,136.061,audio_features,spotify:track:5TK74MJYRmwU5NIAjGRvRq,https://api.spotify.com/v1/tracks/5TK74MJYRmwU5NIAjGRvRq,https://api.spotify.com/v1/audio-analysis/5TK74MJYRmwU5NIAjGRvRq,144706,4
46,Гарно так,CHEEV,55,https://open.spotify.com/track/3yRDM5tBS7H8HG64y3x9kw,3yRDM5tBS7H8HG64y3x9kw,Ukraine,0.717,0.473,0,-8.799,1,0.0928,0.239,1.1e-05,0.135,0.798,80.053,audio_features,spotify:track:3yRDM5tBS7H8HG64y3x9kw,https://api.spotify.com/v1/tracks/3yRDM5tBS7H8HG64y3x9kw,https://api.spotify.com/v1/audio-analysis/3yRDM5tBS7H8HG64y3x9kw,182546,4
47,ТОЛПЫ КРИЧАТ,uniqe,61,https://open.spotify.com/track/3mcw4dkjfzj5B4Ago9NSmN,3mcw4dkjfzj5B4Ago9NSmN,Ukraine,0.895,0.384,3,-7.204,0,0.241,0.698,0.0,0.0933,0.697,130.087,audio_features,spotify:track:3mcw4dkjfzj5B4Ago9NSmN,https://api.spotify.com/v1/tracks/3mcw4dkjfzj5B4Ago9NSmN,https://api.spotify.com/v1/audio-analysis/3mcw4dkjfzj5B4Ago9NSmN,125538,4
48,У мене немає дому,Odyn v Kanoe,50,https://open.spotify.com/track/4GC6tlXcAsyp4pNrlyo1pb,4GC6tlXcAsyp4pNrlyo1pb,Ukraine,0.649,0.454,1,-7.102,0,0.0353,0.793,0.0,0.109,0.423,140.009,audio_features,spotify:track:4GC6tlXcAsyp4pNrlyo1pb,https://api.spotify.com/v1/tracks/4GC6tlXcAsyp4pNrlyo1pb,https://api.spotify.com/v1/audio-analysis/4GC6tlXcAsyp4pNrlyo1pb,198429,4
49,Running Up That Hill (A Deal With God),Kate Bush,94,https://open.spotify.com/track/75FEaRjZTKLhTrFGsfMUXR,75FEaRjZTKLhTrFGsfMUXR,Ukraine,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,audio_features,spotify:track:75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/tracks/75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/audio-analysis/75FEaRjZTKLhTrFGsfMUXR,298933,4
