,Track name,Artist,Popularity,Track URL,id,Playlist country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
27,"Sex, Drugs, Etc.",Beach Weather,85,https://open.spotify.com/track/7DbdUf8aHSYoliSjO6LZv6,7DbdUf8aHSYoliSjO6LZv6,Bulgaria,0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969,audio_features,spotify:track:7DbdUf8aHSYoliSjO6LZv6,https://api.spotify.com/v1/tracks/7DbdUf8aHSYoliSjO6LZv6,https://api.spotify.com/v1/audio-analysis/7DbdUf8aHSYoliSjO6LZv6,196784,4
28,Sladkoto zlo,Preslava,46,https://open.spotify.com/track/16rryuFZpdvWzKllkUw0ri,16rryuFZpdvWzKllkUw0ri,Bulgaria,0.577,0.852,1,-5.471,0,0.176,0.0464,0.0,0.361,0.653,93.746,audio_features,spotify:track:16rryuFZpdvWzKllkUw0ri,https://api.spotify.com/v1/tracks/16rryuFZpdvWzKllkUw0ri,https://api.spotify.com/v1/audio-analysis/16rryuFZpdvWzKllkUw0ri,225957,4
29,Heat Waves,Glass Animals,89,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,02MWAaffLxlfxAUY7c5dvx,Bulgaria,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,spotify:track:02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805,4
30,Do I Wanna Know?,Arctic Monkeys,64,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt,3rq5w4bQGigXOfdN30ATJt,Bulgaria,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,audio_features,spotify:track:3rq5w4bQGigXOfdN30ATJt,https://api.spotify.com/v1/tracks/3rq5w4bQGigXOfdN30ATJt,https://api.spotify.com/v1/audio-analysis/3rq5w4bQGigXOfdN30ATJt,272394,4
31,I Wanna Be Yours,Arctic Monkeys,63,https://open.spotify.com/track/7a8GawTVgHZvBLQOh46he7,7a8GawTVgHZvBLQOh46he7,Bulgaria,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,audio_features,spotify:track:7a8GawTVgHZvBLQOh46he7,https://api.spotify.com/v1/tracks/7a8GawTVgHZvBLQOh46he7,https://api.spotify.com/v1/audio-analysis/7a8GawTVgHZvBLQOh46he7,183956,4
32,Комбайна-вършачка,Оркестър Камчия,42,https://open.spotify.com/track/2F0r6e13kRiEvmRCjz3MkN,2F0r6e13kRiEvmRCjz3MkN,Bulgaria,0.643,0.538,6,-7.496,0,0.0521,0.52,3.44e-06,0.0912,0.975,175.061,audio_features,spotify:track:2F0r6e13kRiEvmRCjz3MkN,https://api.spotify.com/v1/tracks/2F0r6e13kRiEvmRCjz3MkN,https://api.spotify.com/v1/audio-analysis/2F0r6e13kRiEvmRCjz3MkN,305993,4
33,Plan B,Torino,45,https://open.spotify.com/track/2FBlCQ6UYQu1KHMBnruVul,2FBlCQ6UYQu1KHMBnruVul,Bulgaria,0.744,0.775,7,-4.981,0,0.256,0.159,0.0,0.311,0.853,169.99,audio_features,spotify:track:2FBlCQ6UYQu1KHMBnruVul,https://api.spotify.com/v1/tracks/2FBlCQ6UYQu1KHMBnruVul,https://api.spotify.com/v1/audio-analysis/2FBlCQ6UYQu1KHMBnruVul,208000,4
34,DROGA,Yung Mici,25,https://open.spotify.com/track/6kl1QzJtnTgToGGxZWeTJw,6kl1QzJtnTgToGGxZWeTJw,Bulgaria,0.775,0.442,4,-11.229,0,0.067,0.205,0.0273,0.112,0.439,118.04,audio_features,spotify:track:6kl1QzJtnTgToGGxZWeTJw,https://api.spotify.com/v1/tracks/6kl1QzJtnTgToGGxZWeTJw,https://api.spotify.com/v1/audio-analysis/6kl1QzJtnTgToGGxZWeTJw,170918,4
35,Running Up That Hill (A Deal With God),Kate Bush,94,https://open.spotify.com/track/75FEaRjZTKLhTrFGsfMUXR,75FEaRjZTKLhTrFGsfMUXR,Bulgaria,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,audio_features,spotify:track:75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/tracks/75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/audio-analysis/75FEaRjZTKLhTrFGsfMUXR,298933,4
36,Call Out My Name,The Weeknd,88,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN,09mEdoA6zrmBPgTEN5qXmN,Bulgaria,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,audio_features,spotify:track:09mEdoA6zrmBPgTEN5qXmN,https://api.spotify.com/v1/tracks/09mEdoA6zrmBPgTEN5qXmN,https://api.spotify.com/v1/audio-analysis/09mEdoA6zrmBPgTEN5qXmN,228373,3
37,LOTUS,V:RGO,44,https://open.spotify.com/track/4z7cTjQGpdJzzKy4wEdAEX,4z7cTjQGpdJzzKy4wEdAEX,Bulgaria,0.769,0.582,4,-6.585,0,0.267,0.143,0.0,0.0975,0.433,154.102,audio_features,spotify:track:4z7cTjQGpdJzzKy4wEdAEX,https://api.spotify.com/v1/tracks/4z7cTjQGpdJzzKy4wEdAEX,https://api.spotify.com/v1/audio-analysis/4z7cTjQGpdJzzKy4wEdAEX,194740,4
38,Bones,Imagine Dragons,80,https://open.spotify.com/track/54ipXppHLA8U4yqpOFTUhr,54ipXppHLA8U4yqpOFTUhr,Bulgaria,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,114.061,audio_features,spotify:track:54ipXppHLA8U4yqpOFTUhr,https://api.spotify.com/v1/tracks/54ipXppHLA8U4yqpOFTUhr,https://api.spotify.com/v1/audio-analysis/54ipXppHLA8U4yqpOFTUhr,165265,4
39,Без лед,DJAANY,41,https://open.spotify.com/track/18y7QMqWhkkd1akp6FmXgA,18y7QMqWhkkd1akp6FmXgA,Bulgaria,0.559,0.49,0,-10.107,1,0.477,0.403,0.0,0.104,0.603,64.412,audio_features,spotify:track:18y7QMqWhkkd1akp6FmXgA,https://api.spotify.com/v1/tracks/18y7QMqWhkkd1akp6FmXgA,https://api.spotify.com/v1/audio-analysis/18y7QMqWhkkd1akp6FmXgA,207327,3
40,Super Freaky Girl,Nicki Minaj,89,https://open.spotify.com/track/4C6Uex2ILwJi9sZXRdmqXp,4C6Uex2ILwJi9sZXRdmqXp,Bulgaria,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,audio_features,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/tracks/4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/audio-analysis/4C6Uex2ILwJi9sZXRdmqXp,170977,4
41,vendetta!,MUPP,83,https://open.spotify.com/track/5Sk39LuvdwuvL84jD01Dum,5Sk39LuvdwuvL84jD01Dum,Bulgaria,0.706,0.91,1,-3.527,1,0.146,0.175,2e-06,0.11,0.667,126.007,audio_features,spotify:track:5Sk39LuvdwuvL84jD01Dum,https://api.spotify.com/v1/tracks/5Sk39LuvdwuvL84jD01Dum,https://api.spotify.com/v1/audio-analysis/5Sk39LuvdwuvL84jD01Dum,107045,4
42,Jimmy Cooks (feat. 21 Savage),Drake,91,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,3F5CgOj3wFlRv51JsHbxhe,Bulgaria,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,audio_features,spotify:track:3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/tracks/3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/audio-analysis/3F5CgOj3wFlRv51JsHbxhe,218365,4
43,А+Г=ВНЛ,Galena,47,https://open.spotify.com/track/5bYyQzaUSXpGGrJuGZfafd,5bYyQzaUSXpGGrJuGZfafd,Bulgaria,0.733,0.807,3,-5.136,0,0.0405,0.0935,2.09e-06,0.365,0.799,136.065,audio_features,spotify:track:5bYyQzaUSXpGGrJuGZfafd,https://api.spotify.com/v1/tracks/5bYyQzaUSXpGGrJuGZfafd,https://api.spotify.com/v1/audio-analysis/5bYyQzaUSXpGGrJuGZfafd,230756,4
44,Why'd You Only Call Me When You're High?,Arctic Monkeys,63,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ,48q0vSHcJdhK3IiXH8C5WJ,Bulgaria,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,audio_features,spotify:track:48q0vSHcJdhK3IiXH8C5WJ,https://api.spotify.com/v1/tracks/48q0vSHcJdhK3IiXH8C5WJ,https://api.spotify.com/v1/audio-analysis/48q0vSHcJdhK3IiXH8C5WJ,161124,4
45,Where Are You Now,Lost Frequencies,90,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z,3uUuGVFu1V7jTQL60S1r8z,Bulgaria,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,audio_features,spotify:track:3uUuGVFu1V7jTQL60S1r8z,https://api.spotify.com/v1/tracks/3uUuGVFu1V7jTQL60S1r8z,https://api.spotify.com/v1/audio-analysis/3uUuGVFu1V7jTQL60S1r8z,148197,4
46,MAYBACH,V:RGO,42,https://open.spotify.com/track/3AXZZgreuwWgYX2IL3oGkA,3AXZZgreuwWgYX2IL3oGkA,Bulgaria,0.876,0.629,11,-6.626,0,0.243,0.000162,0.0,0.0803,0.876,150.038,audio_features,spotify:track:3AXZZgreuwWgYX2IL3oGkA,https://api.spotify.com/v1/tracks/3AXZZgreuwWgYX2IL3oGkA,https://api.spotify.com/v1/audio-analysis/3AXZZgreuwWgYX2IL3oGkA,200068,4
47,S' Agapao,Nikos Vertis,53,https://open.spotify.com/track/6tfajS9NU9zqfOZdByVbV1,6tfajS9NU9zqfOZdByVbV1,Bulgaria,0.525,0.699,8,-6.07,0,0.16,0.141,2.8e-05,0.183,0.612,138.896,audio_features,spotify:track:6tfajS9NU9zqfOZdByVbV1,https://api.spotify.com/v1/tracks/6tfajS9NU9zqfOZdByVbV1,https://api.spotify.com/v1/audio-analysis/6tfajS9NU9zqfOZdByVbV1,240107,4
48,Med,Molec,39,https://open.spotify.com/track/4Nkgkvf4AKvt6a3VXlyM0O,4Nkgkvf4AKvt6a3VXlyM0O,Bulgaria,0.68,0.447,10,-13.323,0,0.132,0.0212,0.0,0.177,0.492,155.057,audio_features,spotify:track:4Nkgkvf4AKvt6a3VXlyM0O,https://api.spotify.com/v1/tracks/4Nkgkvf4AKvt6a3VXlyM0O,https://api.spotify.com/v1/audio-analysis/4Nkgkvf4AKvt6a3VXlyM0O,178000,4
49,MIDNIGHT,PLAYAMANE,82,https://open.spotify.com/track/2WzAAerBvZvvFXgUpSwHZ9,2WzAAerBvZvvFXgUpSwHZ9,Bulgaria,0.633,0.433,1,-8.833,1,0.229,0.0053,0.28,0.145,0.373,122.088,audio_features,spotify:track:2WzAAerBvZvvFXgUpSwHZ9,https://api.spotify.com/v1/tracks/2WzAAerBvZvvFXgUpSwHZ9,https://api.spotify.com/v1/audio-analysis/2WzAAerBvZvvFXgUpSwHZ9,121972,4
