,Track name,Artist,Popularity,Track URL,id,Playlist country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
40,Where Are You Now,Lost Frequencies,90,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z,3uUuGVFu1V7jTQL60S1r8z,Kingdom,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,audio_features,spotify:track:3uUuGVFu1V7jTQL60S1r8z,https://api.spotify.com/v1/tracks/3uUuGVFu1V7jTQL60S1r8z,https://api.spotify.com/v1/audio-analysis/3uUuGVFu1V7jTQL60S1r8z,148197,4
41,I Like You (A Happier Song) (with Doja Cat),Post Malone,91,https://open.spotify.com/track/0O6u0VJ46W86TxN9wgyqDj,0O6u0VJ46W86TxN9wgyqDj,Kingdom,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,audio_features,spotify:track:0O6u0VJ46W86TxN9wgyqDj,https://api.spotify.com/v1/tracks/0O6u0VJ46W86TxN9wgyqDj,https://api.spotify.com/v1/audio-analysis/0O6u0VJ46W86TxN9wgyqDj,192841,4
42,Massive,Drake,80,https://open.spotify.com/track/0oiv4E896TUTTeQU0cmIui,0oiv4E896TUTTeQU0cmIui,Kingdom,0.499,0.671,4,-6.774,0,0.0561,0.114,0.0169,0.148,0.0557,124.994,audio_features,spotify:track:0oiv4E896TUTTeQU0cmIui,https://api.spotify.com/v1/tracks/0oiv4E896TUTTeQU0cmIui,https://api.spotify.com/v1/audio-analysis/0oiv4E896TUTTeQU0cmIui,336924,3
43,Do I Wanna Know?,Arctic Monkeys,64,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt,3rq5w4bQGigXOfdN30ATJt,Kingdom,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,audio_features,spotify:track:3rq5w4bQGigXOfdN30ATJt,https://api.spotify.com/v1/tracks/3rq5w4bQGigXOfdN30ATJt,https://api.spotify.com/v1/audio-analysis/3rq5w4bQGigXOfdN30ATJt,272394,4
44,Cold Heart - PNAU Remix,Elton John,84,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h,6JIC3hbC28JZKZ8AlAqX8h,Kingdom,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,audio_features,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,https://api.spotify.com/v1/tracks/6JIC3hbC28JZKZ8AlAqX8h,https://api.spotify.com/v1/audio-analysis/6JIC3hbC28JZKZ8AlAqX8h,202735,4
45,Jimmy Cooks (feat. 21 Savage),Drake,91,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,3F5CgOj3wFlRv51JsHbxhe,Kingdom,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,audio_features,spotify:track:3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/tracks/3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/audio-analysis/3F5CgOj3wFlRv51JsHbxhe,218365,4
46,Sunroof,Nicky Youre,91,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8,4h4QlmocP3IuwYEj2j14p8,Kingdom,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,audio_features,spotify:track:4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/tracks/4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/audio-analysis/4h4QlmocP3IuwYEj2j14p8,163026,4
47,First Class,Jack Harlow,81,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC,0wHFktze2PHC5jDt3B17DC,Kingdom,0.902,0.582,5,-5.902,0,0.109,0.111,3.18e-06,0.111,0.332,107.005,audio_features,spotify:track:0wHFktze2PHC5jDt3B17DC,https://api.spotify.com/v1/tracks/0wHFktze2PHC5jDt3B17DC,https://api.spotify.com/v1/audio-analysis/0wHFktze2PHC5jDt3B17DC,173948,4
48,SNAP,Rosa Linn,76,https://open.spotify.com/track/6zJejIfVYLgjud3lTk4DLB,6zJejIfVYLgjud3lTk4DLB,Kingdom,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,audio_features,spotify:track:6zJejIfVYLgjud3lTk4DLB,https://api.spotify.com/v1/tracks/6zJejIfVYLgjud3lTk4DLB,https://api.spotify.com/v1/audio-analysis/6zJejIfVYLgjud3lTk4DLB,179551,4
49,Bad Habits,Ed Sheeran,89,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d,3rmo8F54jFF8OgYsqTxm5d,Kingdom,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,audio_features,spotify:track:3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/tracks/3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/audio-analysis/3rmo8F54jFF8OgYsqTxm5d,230747,4
